time_s,frame,object_name,object_index,active,kind,x_m,y_m,z_m,qx,qy,qz,qw,vx_m_s,vy_m_s,vz_m_s,wx_rad_s,wy_rad_s,wz_rad_s,mesh_z_min_m,mesh_z_max_m,mesh_z_span_m,mesh_xy_radius_m
1.4666666666666666,88,object_b,1,1,rigid_box,0.31747674690401756,1.1181351459951022e-07,0.3999907959472528,4.8053661255597654e-08,-3.373728222724078e-08,-1.3435663719550242e-08,0.9999999999999982,0.17102132483072288,1.1426108630842947e-07,-5.5544870786183864e-11,3.395602959184167e-10,6.13790415775934e-08,-2.7598288159219148e-08,,,,
1.4833333333333334,89,object_a,0,1,rigid_box,-0.49774238691580763,-1.8234817496062788e-07,0.39999079688615174,2.8534070093523844e-08,-1.2529972961739703e-07,9.982703814673331e-09,0.9999999999999917,-0.41083207568595753,-1.8328150042889217e-07,1.053753410917846e-09,-1.586406264543875e-13,-6.284114571136962e-08,1.1755636813436478e-08,,,,
1.4833333333333334,89,object_b,1,1,rigid_box,0.32032534179831174,1.137166911564351e-07,0.3999907959463304,4.80564985888162e-08,-3.3225797692226043e-08,-1.3665784776433843e-08,0.9999999999999982,0.17082251747083596,1.1412841245328628e-07,-5.517136573984782e-11,3.4129404026684254e-10,6.137735832659672e-08,-2.762882174665537e-08,,,,
1.5,90,object_a,0,1,rigid_box,-0.504585589491144,-1.8540108226003555e-07,0.399990796903723,2.8534068777768914e-08,-1.2582366283140958e-07,1.0080712769498511e-08,0.9999999999999916,-0.4103805450381693,-1.8308000929198626e-07,1.0547654433895604e-09,-1.5882134845444667e-13,-6.289920629982427e-08,1.1765870728681645e-08,,,,
1.5,90,object_b,1,1,rigid_box,0.3231706248106968,1.1561765753879167e-07,0.39999079594541476,4.805935034887782e-08,-3.2714327087169483e-08,-1.3896159495724851e-08,0.9999999999999982,0.17062388785733534,1.1399585788117765e-07,-5.474395936566623e-11,3.4302304132534866e-10,6.137569699077682e-08,-2.7659178414362602e-08,,,,
1.5166666666666666,91,object_a,0,1,rigid_box,-0.5114212714071418,-1.884506335376699e-07,0.3999907969213106,2.8534067460512806e-08,-1.2634808011725672e-07,1.0178807049394994e-08,0.9999999999999916,-0.40992956217344934,-1.8287876247660378e-07,1.0557458240967321e-09,-1.5900229034711173e-13,-6.295731966796841e-08,1.1776114195334234e-08,,,,
1.5166666666666666,91,object_b,1,1,rigid_box,0.32601259890173945,1.1751641573335848e-07,0.39999079594450565,4.8062216496386175e-08,-3.220287023021061e-08,-1.4126786408359229e-08,0.9999999999999982,0.1704254357787423,1.1386342244847409e-07,-5.439569281118217e-11,3.447473292091631e-10,6.137405740183351e-08,-2.768935928130532e-08,,,,
1.5333333333333334,92,object_a,0,1,rigid_box,-0.5182494417852335,-1.9149683286185823e-07,0.3999907969389146,2.853406614175383e-08,-1.2687298191501397e-07,1.0276986734037896e-08,0.9999999999999915,-0.40947912615636195,-1.8267775956522563e-07,1.0566908997117208e-09,-1.5918343464739935e-13,-6.301548586145133e-08,1.1786367274491758e-08,,,,
1.5333333333333334,92,object_b,1,1,rigid_box,0.32885126702848494,1.1941296772452228e-07,0.39999079594360315,4.8065096992195175e-08,-3.1691426940850766e-08,-1.4357664054198087e-08,0.9999999999999982,0.17022716102390778,1.1373110601178001e-07,-5.3966079868739136e-11,3.4646693317970576e-10,6.137243939344594e-08,-2.7719365482647955e-08,,,,
1.55,93,object_a,0,1,rigid_box,-0.5250701097312799,-1.945396842939775e-07,0.3999907969565349,2.853406482149029e-08,-1.2739836866517992e-07,1.0375251903107581e-08,0.9999999999999913,-0.40902923605359004,-1.8247700014127655e-07,1.0577113889603806e-09,-1.5936478464412165e-13,-6.307370493785371e-08,1.1796629920668086e-08,,,,
1.55,93,object_b,1,1,rigid_box,0.3316866321444621,1.2130731549428197e-07,0.39999079594270726,4.806799179740512e-08,-3.117999703996854e-08,-1.4588790982317602e-08,0.9999999999999982,0.17002906338201224,1.135989084279334e-07,-5.356693040525773e-11,3.481818832497005e-10,6.13708428063091e-08,-2.774919803701575e-08,,,,
1.5666666666666667,94,object_a,0,1,rigid_box,-0.5318832843356048,-1.9757919188847023e-07,0.39999079697417156,2.853406349972052e-08,-1.279242408085771e-07,1.0473602636486112e-08,0.9999999999999913,-0.40857989093393116,-1.8227648378912383e-07,1.0586714126875618e-09,-1.5954632886800904e-13,-6.313197694021682e-08,1.1806902103038891e-08,,,,
