time,x,y,z,vx,vy,vz,num_table_contacts
3.581249999999999822e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.612223931694027655e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.583333333333333481e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613247127303917795e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.585416666666666696e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613513473516405161e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.587499999999999911e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613582805620863762e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.589583333333333126e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613600853336517532e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.591666666666666785e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613605551304982548e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.593750000000000000e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613606774224720498e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.595833333333333215e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607092560761490e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.597916666666666430e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607175426246058e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.600000000000000089e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607196996811195e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.602083333333333304e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607202611806022e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.604166666666666519e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204073435240e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.606249999999999734e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204453909634e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.608333333333333393e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204552950505e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.610416666666666607e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204578730849e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.612499999999999822e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204585441713e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.614583333333333481e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587189533e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.616666666666666696e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587643744e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.618749999999999911e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587762690e-17,-4.369074546595186348e-14,1.000000000000000000e+00
