time,soft_z_min,soft_z_max,soft_z_span,soft_xy_radius,soft_center_x,soft_center_y,soft_center_z
3.499999999999999778e-01,7.557044555820107146e-01,1.031664062749847899e+00,2.759596071678371842e-01,1.685747240749129738e-01,-2.340544279925236160e-03,1.127528379247174717e-03,8.784433787222339918e-01
3.666666666666666408e-01,7.557692540663975000e-01,1.030691011290086667e+00,2.749217572236891671e-01,1.688675939949602356e-01,-2.370379554133114977e-03,1.111598482221817265e-03,8.777010773087597917e-01
3.833333333333333037e-01,7.558198453490502233e-01,1.029681117930189904e+00,2.738612725811396809e-01,1.691450000318895641e-01,-2.388875181949696135e-03,1.097641136709596663e-03,8.769180333490120827e-01
4.000000000000000222e-01,7.558593444512945458e-01,1.028755014865773809e+00,2.728956704144792633e-01,1.694104004488083404e-01,-2.403012064342222032e-03,1.085612061814764584e-03,8.762371700827807919e-01
4.166666666666666852e-01,7.558901833125848402e-01,1.027869518804308102e+00,2.719793354917232620e-01,1.696695425059495110e-01,-2.418086125744944685e-03,1.076124274167275822e-03,8.755835166650274282e-01
4.333333333333333481e-01,7.559142607256364998e-01,1.026988070083488136e+00,2.710738093578516361e-01,1.699219580968183707e-01,-2.432652267468191250e-03,1.071899576349643430e-03,8.749308987819426342e-01
4.500000000000000111e-01,7.559330591572304137e-01,1.026089224982103199e+00,2.701561658248727849e-01,1.701680608416804852e-01,-2.434278541300018053e-03,1.094744425326855041e-03,8.742600152639035116e-01
4.666666666666666741e-01,7.559477359818845832e-01,1.025172698679352123e+00,2.692249626974675403e-01,1.704072712318846772e-01,-2.443877245207949113e-03,1.114391108525996082e-03,8.735600123364718472e-01
4.833333333333333370e-01,7.559460655459822043e-01,1.024205203181109525e+00,2.682591376351273205e-01,1.706384013027260060e-01,-2.456887790878049729e-03,1.139226942409486080e-03,8.728449118359105086e-01
5.000000000000000000e-01,7.559578907476591780e-01,1.023329925872818569e+00,2.673720351251593907e-01,1.708642124626623959e-01,-2.469051214756957328e-03,1.173130855509785719e-03,8.722124958512215143e-01
5.166666666666666075e-01,7.559671232424490794e-01,1.022473029369667996e+00,2.665059061272189167e-01,1.710854533133514543e-01,-2.479585760758150348e-03,1.209172045791082192e-03,8.715752628601743934e-01
5.333333333333333259e-01,7.559743314747208176e-01,1.021619434408745475e+00,2.656451029340246572e-01,1.712981340278084685e-01,-2.502169765737503188e-03,1.220500746998101193e-03,8.709662253100699525e-01
5.500000000000000444e-01,7.559619632368230757e-01,1.020779092546085787e+00,2.648171293092627110e-01,1.715062150150600540e-01,-2.531305634822573168e-03,1.222604289287586039e-03,8.703477037348518186e-01
5.666666666666666519e-01,7.559703028477652298e-01,1.019975922978440197e+00,2.640056201306749672e-01,1.717106993915746838e-01,-2.563514712848883898e-03,1.222753298651501350e-03,8.697771066145261187e-01
5.833333333333333703e-01,7.559612223213245663e-01,1.019192203637665495e+00,2.632309813163409284e-01,1.719105074134103517e-01,-2.595379259608347061e-03,1.223227159588088095e-03,8.692167761813681670e-01
5.999999999999999778e-01,7.559697243716965165e-01,1.018411493028920312e+00,2.624417686572237951e-01,1.721064857017489402e-01,-2.626207616414934914e-03,1.223756171010621134e-03,8.686578865459753107e-01
6.166666666666666963e-01,7.559763622999606802e-01,1.017629924613139725e+00,2.616535623131790445e-01,1.722989102982235565e-01,-2.658506788597971796e-03,1.220786742587807831e-03,8.680970395888558677e-01
6.333333333333333037e-01,7.559815448980672370e-01,1.016845746166305409e+00,2.608642012682381717e-01,1.724868761091263858e-01,-2.687966914579247371e-03,1.216134875425076839e-03,8.675329970562400961e-01
6.500000000000000222e-01,7.559855911947255258e-01,1.016058557976633248e+00,2.600729667819077218e-01,1.726719569051087810e-01,-2.705904458921751590e-03,1.218033875571153868e-03,8.669654801026398516e-01
6.666666666666666297e-01,7.559887503273965415e-01,1.015187144968206390e+00,2.591983946408098483e-01,1.728521838694203616e-01,-2.716054780318769533e-03,1.221890962903481558e-03,8.662657746495678879e-01
6.833333333333333481e-01,7.559912168269615762e-01,1.014157565352672208e+00,2.581663485257106316e-01,1.730253194844853237e-01,-2.716638881331346830e-03,1.196812963868413258e-03,8.654577968624013184e-01
6.999999999999999556e-01,7.559607407783570654e-01,1.013239358059382589e+00,2.572786172810255234e-01,1.731901105650189288e-01,-2.705216831915511176e-03,1.179363963465301576e-03,8.648348421046068157e-01
7.166666666666666741e-01,7.559693484092401272e-01,1.012483970233600372e+00,2.565146218243602450e-01,1.733524404692151355e-01,-2.698637904509525696e-03,1.159367844754933662e-03,8.642849886119128300e-01
7.333333333333332815e-01,7.559760687906849075e-01,1.011773485302544406e+00,2.557974165118594989e-01,1.735115752837231573e-01,-2.697816032326059380e-03,1.150094394714012069e-03,8.638143400213889045e-01
7.500000000000000000e-01,7.559337101559971961e-01,1.010990925355364389e+00,2.550572151993671932e-01,1.736654823166487172e-01,-2.701903711465222097e-03,1.148431548471473855e-03,8.632298736757592073e-01
7.666666666666666075e-01,7.550867948136184005e-01,1.010321651186923297e+00,2.552348563733048969e-01,1.738147516777805712e-01,-2.712555929900396443e-03,1.151271934255470664e-03,8.627871624224204838e-01
7.833333333333333259e-01,7.552870159804895289e-01,1.009723805148163400e+00,2.544367891676738713e-01,1.739629309705114091e-01,-2.724148738075127078e-03,1.153361067786955185e-03,8.624040730758678608e-01
