time,active_blocks,block_0_x,block_0_y,block_0_z,block_0_vx,block_0_vy,block_0_vz,block_1_x,block_1_y,block_1_z,block_1_vx,block_1_vy,block_1_vz,block_2_x,block_2_y,block_2_z,block_2_vx,block_2_vy,block_2_vz,block_3_x,block_3_y,block_3_z,block_3_vx,block_3_vy,block_3_vz,block_4_x,block_4_y,block_4_z,block_4_vx,block_4_vy,block_4_vz,block_5_x,block_5_y,block_5_z,block_5_vx,block_5_vy,block_5_vz
7.499999999999999722e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.061945696037527309e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.338929047470561517e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.777777777777777901e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.059850650341181311e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.609903433815990992e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.055555555555556080e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.057680349687176058e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.880802300919035330e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.333333333333334259e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.055434815388452741e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.151624039138902766e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.611111111111111049e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.053114069204690750e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.422367040678558903e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.888888888888889228e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.050718133341788985e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.693029699622516482e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.166666666666667407e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.048247030451334716e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.963610411974520797e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.444444444444444198e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.045700783630062691e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.234107575695141845e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.722222222222222376e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.043079416419303573e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.504519590739270996e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000056e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040382952804422834e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.774844859093506644e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.027777777777777873e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.037611417214247655e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.004508178481344993e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.055555555555555552e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.034764834520485177e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.031522877406088723e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.083333333333333370e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.031843230037129633e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.058528423514086381e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.111111111111111188e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.028846629519859279e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.085524657853866426e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.138888888888888867e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.025775059165422443e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.112511421695666636e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.166666666666666685e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.022628545611014905e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.139488556535108721e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.194444444444444503e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.019407115933645969e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.166455904096862728e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.222222222222222321e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.016110797649494080e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193413306338298341e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.012739618713253353e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.220360605453125524e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.277777777777777957e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009293607517469660e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.247297643875022954e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.305555555555555636e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.005772792891866274e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.274224264281254015e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.333333333333333315e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002177204102659536e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.301140309596271916e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.361111111111111271e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.985068708518648473e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.328045622995310815e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.388888888888888951e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.947618232765925717e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.354940047907964740e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.416666666666666630e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.909420919483344914e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.381823428021754729e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.444444444444444586e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.870477078722393882e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.408695607285682216e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
