time,object_a_x,object_a_y,object_a_z,object_a_vx,object_a_vy,object_a_vz,object_b_x,object_b_y,object_b_z,object_b_vx,object_b_vy,object_b_vz,total_translational_ke,total_px,total_py
1.188888888888888884e+00,-2.171386184897799443e-01,-2.635670378610007014e-07,7.749915121362143111e-01,-2.277111347421097443e-01,-2.989419065581029490e-07,6.894984791450120554e-10,9.610077269736169159e-01,4.087441421646213127e-07,2.307852349360718092e-01,9.812553991343605508e-01,4.839794265524378055e-07,-3.205097908767449599e+00,3.393987991333347054e-01,3.838132182127175496e-02,2.133994002917001996e-09
1.191666666666666652e+00,-2.177710620076257209e-01,-2.643973173565935852e-07,7.749915121381295569e-01,-2.276691775507069804e-01,-2.988868564407966624e-07,6.895287327224330909e-10,9.637324470599042403e-01,4.100880414858791443e-07,2.218286698855457262e-01,9.807803055719144236e-01,4.837450986597052910e-07,-3.230783491483354197e+00,3.443292557474819660e-01,3.835659235475123718e-02,2.124888839910619302e-09
1.194444444444444420e+00,-2.184033889918522153e-01,-2.652274439537483937e-07,7.749915121400451357e-01,-2.276272271437841943e-01,-2.988318152294542400e-07,6.896503298992051612e-10,9.664558423752979133e-01,4.114312873973743193e-07,2.128008001850672237e-01,9.803027803985264743e-01,4.835095714363295397e-07,-3.256447851864129550e+00,3.492950215492111599e-01,3.833171638097100653e-02,2.115710915528889326e-09
1.197222222222222188e+00,-2.190355994613020774e-01,-2.660574176771998125e-07,7.749915121419608255e-01,-2.275852835198533819e-01,-2.987767829221218945e-07,6.896955524055004005e-10,9.691779061737593182e-01,4.127738765717938670e-07,2.037016850524499822e-01,9.798228276700551298e-01,4.832728468827599098e-07,-3.282090861843930618e+00,3.542959737280608756e-01,3.830669414341650314e-02,2.106460349974621572e-09
1.199999999999999956e+00,-2.196676934348138210e-01,-2.668872385516771801e-07,7.749915121438768484e-01,-2.275433466774267333e-01,-2.987217595168487501e-07,6.898181800080172010e-10,9.718986317206755876e-01,4.141158056874601270e-07,1.945313840602961863e-01,9.793404515187001946e-01,4.830349270370995505e-07,-3.307712393813154961e+00,3.593319888627634628e-01,3.828152589015360041e-02,2.097137265709583007e-09
1.202777777777777724e+00,-2.202996709312219081e-01,-2.677169066019043296e-07,7.749915121457930933e-01,-2.275014166150171324e-01,-2.986667450116811253e-07,6.898204420874298748e-10,9.746180122930682144e-01,4.154570714284338757e-07,1.852899571347234042e-01,9.788556561514548671e-01,4.827958139743416956e-07,-3.333312320621182323e+00,3.644029429268337839e-01,3.825621187373574872e-02,2.087741787409201646e-09
1.205555555555555491e+00,-2.209315319693566093e-01,-2.685464218525997470e-07,7.749915121477095603e-01,-2.274594933311376854e-01,-2.986117394046685151e-07,6.899124622289365405e-10,9.773360411797977765e-01,4.167976704846151754e-07,1.759774645540839455e-01,9.783684458486040514e-01,4.825555098056287218e-07,-3.358890515579068481e+00,3.695087112941785601e-01,3.823075235111385306e-02,2.078274041917558004e-09
1.208333333333333481e+00,-2.215632765680440874e-01,-2.693757843284764125e-07,7.749915121496262493e-01,-2.274175768243019702e-01,-2.985567426938602555e-07,6.900229901352084028e-10,9.800527116817642215e-01,4.181375995518422659e-07,1.665939669476770024e-01,9.778788249622678563e-01,4.823140166775336527e-07,-3.384446852462198674e+00,3.746491687447257579e-01,3.820514758354889157e-02,2.068734158204596697e-09
1.211111111111111249e+00,-2.221949047461063420e-01,-2.702049940542420126e-07,7.749915121515432714e-01,-2.273756670930240920e-01,-2.985017548773055766e-07,6.901401568282228283e-10,9.827680171121039310e-01,4.194768553319886558e-07,1.571395252944533527e-01,9.773867979149866159e-01,4.820713367713629451e-07,-3.409981205512897517e+00,3.798241894700720156e-01,3.817939783652703201e-02,2.059122267324274410e-09
1.213888888888889017e+00,-2.228264165223612925e-01,-2.710340510545987279e-07,7.749915121534604046e-01,-2.273337641358185168e-01,-2.984467759530554558e-07,6.901944276521687627e-10,9.854819507963821223e-01,4.208154345330580426e-07,1.476142009217129014e-01,9.768923691983480984e-01,4.818274723024785447e-07,-3.435493449442999392e+00,3.850336470791497767e-01,3.815350337967721855e-02,2.049438502373720339e-09
